before	48	0.0009375366225243173
works	56	0.0010937927262783702
and	2061	0.040255478729637875
well	59	0.00115238876518614
love	56	0.0010937927262783702
to	1230	0.024024375952185633
start	4	7.812805187702645e-05
country	25	0.0004883003242314153
is	1254	0.02449314426344779
as	320	0.006250244150162116
lost	1	1.953201296925661e-05
first	39	0.0007617485058010079
contents	2	3.906402593851322e-05
project	90	0.001757881167233095
give	37	0.0007226844798624946
heed	0	0.0
eighth	0	0.0
like	26	0.000507832337200672
third	7	0.00013672409078479628
cheer	1	1.953201296925661e-05
cost	5	9.766006484628306e-05
last	16	0.0003125122075081058
comedy	1	1.953201296925661e-05
united	21	0.00041017227235438887
or	408	0.007969061291456697
restrictions	2	3.906402593851322e-05
where	43	0.0008398765576780343
under	35	0.0006836204539239814
included	3	5.8596038907769834e-05
with	286	0.0055861557092073905
mark	7	0.00013672409078479628
other	91	0.0017774131802023516
king	12	0.00023438415563107934
public	30	0.0005859603890776984
that	421	0.008222977460057034
of	2587	0.050529317551466855
check	3	5.8596038907769834e-05
are	395	0.007715145122856362
it	459	0.008965193952888785
january	0	0.0
updated	1	1.953201296925661e-05
away	36	0.000703152466893238
sport	0	0.0
language	5	9.766006484628306e-05
errors	1	1.953201296925661e-05
no	143	0.0027930778546036952
you	101	0.001972733309894918
red	0	0.0
himself	37	0.0007226844798624946
sixth	0	0.0
the	3463	0.06763936091253564
ends	3	5.8596038907769834e-05
for	411	0.008027657330364467
prince	0	0.0
located	4	7.812805187702645e-05
have	228	0.004453298956990507
title	1	1.953201296925661e-05
use	23	0.0004492362982929021
life	202	0.003945466619789836
in	859	0.01677799914059143
tragedy	0	0.0
fifth	1	1.953201296925661e-05
beloved	1	1.953201296925661e-05
measure	7	0.00013672409078479628
labour	0	0.0
most	52	0.001015664674401344
set	57	0.0011133247392476268
copy	14	0.00027344818156959256
complete	1	1.953201296925661e-05
at	126	0.002461033634126333
september	0	0.0
almost	9	0.0001757881167233095
anyone	6	0.00011719207781553967
hate	0	0.0
this	257	0.005019727333098949
may	131	0.0025586936989726162
merchant	4	7.812805187702645e-05
laws	16	0.0003125122075081058
character	8	0.0001562561037540529
second	12	0.00023438415563107934
all	229	0.004472830969959764
wife	6	0.00011719207781553967
by	257	0.005019727333098949
states	20	0.00039064025938513223
date	6	0.00011719207781553967
whatsoever	3	5.8596038907769834e-05
using	5	9.766006484628306e-05
release	4	7.812805187702645e-05
if	106	0.002070393374741201
flight	0	0.0
parts	3	5.8596038907769834e-05
terms	23	0.0004492362982929021
fourth	3	5.8596038907769834e-05
part	18	0.000351576233446619
dignity	6	0.00011719207781553967
anywhere	4	7.812805187702645e-05
a	1343	0.02623149341771163
world	149	0.002910269932419235
merry	0	0.0
not	454	0.008867533888042501
