before	46	0.001727764423076923
works	0	0.0
and	1417	0.05322265625
well	27	0.0010141225961538462
love	38	0.0014272836538461538
to	748	0.028094951923076924
start	1	3.7560096153846156e-05
country	12	0.00045072115384615387
is	270	0.010141225961538462
as	228	0.008563701923076924
lost	4	0.00015024038461538462
first	25	0.0009390024038461539
contents	0	0.0
project	0	0.0
give	8	0.00030048076923076925
heed	0	0.0
eighth	0	0.0
like	76	0.0028545673076923075
third	0	0.0
cheer	0	0.0
cost	0	0.0
last	6	0.00022536057692307694
comedy	0	0.0
united	0	0.0
or	62	0.0023287259615384615
restrictions	0	0.0
where	48	0.0018028846153846155
under	8	0.00030048076923076925
included	0	0.0
with	232	0.008713942307692308
mark	1	3.7560096153846156e-05
other	69	0.0025916466346153845
king	1	3.7560096153846156e-05
public	0	0.0
that	506	0.019005408653846152
of	540	0.020282451923076924
check	0	0.0
are	145	0.005446213942307692
it	435	0.016338641826923076
january	0	0.0
updated	0	0.0
away	29	0.0010892427884615385
sport	0	0.0
language	11	0.0004131610576923077
errors	0	0.0
no	94	0.0035306490384615385
you	336	0.012620192307692308
red	1	3.7560096153846156e-05
himself	10	0.00037560096153846156
sixth	0	0.0
the	1330	0.049954927884615384
ends	2	7.512019230769231e-05
for	226	0.00848858173076923
prince	3	0.00011268028846153847
located	0	0.0
have	155	0.005821814903846154
title	0	0.0
use	3	0.00011268028846153847
life	31	0.0011643629807692308
in	342	0.012845552884615384
tragedy	0	0.0
fifth	0	0.0
beloved	2	7.512019230769231e-05
measure	0	0.0
labour	0	0.0
most	15	0.0005634014423076923
set	3	0.00011268028846153847
copy	0	0.0
complete	2	7.512019230769231e-05
at	148	0.005558894230769231
september	0	0.0
almost	15	0.0005634014423076923
anyone	0	0.0
hate	2	7.512019230769231e-05
this	160	0.006009615384615385
may	13	0.00048828125
merchant	0	0.0
laws	0	0.0
character	0	0.0
second	1	3.7560096153846156e-05
all	282	0.010591947115384616
wife	1	3.7560096153846156e-05
by	78	0.0029296875
states	0	0.0
date	0	0.0
whatsoever	0	0.0
using	0	0.0
release	0	0.0
if	89	0.0033428485576923075
flight	0	0.0
parts	2	7.512019230769231e-05
terms	0	0.0
fourth	0	0.0
part	3	0.00011268028846153847
dignity	0	0.0
anywhere	0	0.0
a	419	0.01573768028846154
world	16	0.0006009615384615385
merry	0	0.0
not	306	0.011493389423076924
