before	92	0.0010856482027802035
works	5	5.90026197163154e-05
and	2756	0.03252224398763305
well	74	0.000873238771801468
love	70	0.0008260366760284157
to	2017	0.023801656793561634
start	2	2.3601047886526162e-05
country	15	0.0001770078591489462
is	746	0.008803190861674259
as	699	0.008248566236340894
lost	23	0.00027141205069505087
first	101	0.0011918529182695712
contents	2	2.3601047886526162e-05
project	2	2.3601047886526162e-05
give	30	0.0003540157182978924
heed	2	2.3601047886526162e-05
eighth	0	0.0
like	140	0.0016520733520568314
third	10	0.0001180052394326308
cheer	1	1.1800523943263081e-05
cost	4	4.7202095773052324e-05
last	57	0.0006726298647659956
comedy	0	0.0
united	6	7.080314365957849e-05
or	382	0.004507800146326497
restrictions	0	0.0
where	55	0.0006490288168794694
under	48	0.0005664251492766279
included	4	4.7202095773052324e-05
with	776	0.009157206579972151
mark	39	0.00046022043378726014
other	126	0.0014868660168511482
king	19	0.00022420995492199852
public	9	0.00010620471548936773
that	898	0.010596870501050246
of	3426	0.04042859502961931
check	3	3.5401571829789244e-05
are	294	0.003469354039319346
it	854	0.010077647447546672
january	0	0.0
updated	0	0.0
away	60	0.0007080314365957848
sport	3	3.5401571829789244e-05
language	6	7.080314365957849e-05
errors	2	2.3601047886526162e-05
no	243	0.0028675273182129286
you	416	0.004909017960397442
red	11	0.0001298057633758939
himself	56	0.0006608293408227325
sixth	0	0.0
the	5938	0.07007151117509618
ends	3	3.5401571829789244e-05
for	616	0.0072691227490500575
prince	10	0.0001180052394326308
located	0	0.0
have	419	0.004944419532227231
title	12	0.00014160628731915698
use	36	0.00042481886195747093
life	87	0.001026645583063888
in	1553	0.018326213683887566
tragedy	3	3.5401571829789244e-05
fifth	0	0.0
beloved	1	1.1800523943263081e-05
measure	4	4.7202095773052324e-05
labour	0	0.0
most	108	0.0012744565858724126
set	28	0.00033041467041136624
copy	11	0.0001298057633758939
complete	5	5.90026197163154e-05
at	563	0.006643694980057115
september	0	0.0
almost	32	0.0003776167661844186
anyone	0	0.0
hate	6	7.080314365957849e-05
this	368	0.004342592811120814
may	89	0.0010502466309504142
merchant	1	1.1800523943263081e-05
laws	3	3.5401571829789244e-05
character	28	0.00033041467041136624
second	17	0.00020060890703547238
all	329	0.0038823723773335535
wife	36	0.00042481886195747093
by	460	0.005428241013901017
states	4	4.7202095773052324e-05
date	13	0.00015340681126242006
whatsoever	2	2.3601047886526162e-05
using	1	1.1800523943263081e-05
release	2	2.3601047886526162e-05
if	186	0.002194897453446933
flight	1	1.1800523943263081e-05
parts	5	5.90026197163154e-05
terms	4	4.7202095773052324e-05
fourth	9	0.00010620471548936773
part	46	0.0005428241013901017
dignity	2	2.3601047886526162e-05
anywhere	1	1.1800523943263081e-05
a	2100	0.02478110028085247
world	55	0.0006490288168794694
merry	1	1.1800523943263081e-05
not	470	0.005546246253333648
