before	70	0.0014632718759145448
works	37	0.0007734437058405452
and	1390	0.029056398678874534
well	66	0.0013796563401479995
love	5	0.00010451941970818178
to	1283	0.026819683097119445
start	7	0.0001463271875914545
country	45	0.000940674777373636
is	130	0.0027175049124127265
as	375	0.007838956478113633
lost	15	0.00031355825912454536
first	98	0.002048580626280363
contents	1	2.0903883941636355e-05
project	88	0.0018395417868639994
give	20	0.0004180776788327271
heed	0	0.0
eighth	0	0.0
like	38	0.0007943475897821816
third	13	0.0002717504912412726
cheer	1	2.0903883941636355e-05
cost	8	0.00016723107153309084
last	37	0.0007734437058405452
comedy	0	0.0
united	34	0.0007107320540156361
or	186	0.0038881224131443624
restrictions	3	6.271165182490907e-05
where	41	0.0008570592416070906
under	83	0.0017350223671558176
included	10	0.00020903883941636355
with	377	0.007880764245996907
mark	3	6.271165182490907e-05
other	104	0.002174003929930181
king	19	0.0003971737948910908
public	34	0.0007107320540156361
that	410	0.008570592416070905
of	1915	0.04003093774823362
check	2	4.180776788327271e-05
are	63	0.0013169446883230904
it	259	0.005414105940883816
january	1	2.0903883941636355e-05
updated	1	2.0903883941636355e-05
away	20	0.0004180776788327271
sport	0	0.0
language	9	0.0001881349554747272
errors	2	4.180776788327271e-05
no	157	0.0032819097788369077
you	102	0.0021321961620469083
red	5	0.00010451941970818178
himself	38	0.0007943475897821816
sixth	0	0.0
the	3951	0.08259124545340524
ends	3	6.271165182490907e-05
for	362	0.007567205986872361
prince	9	0.0001881349554747272
located	4	8.361553576654542e-05
have	129	0.00269660102847109
title	3	6.271165182490907e-05
use	28	0.000585308750365818
life	28	0.000585308750365818
in	892	0.01864626447593963
tragedy	0	0.0
fifth	0	0.0
beloved	0	0.0
measure	3	6.271165182490907e-05
labour	4	8.361553576654542e-05
most	71	0.0014841757598561814
set	33	0.0006898281700739998
copy	12	0.0002508466072996363
complete	9	0.0001881349554747272
at	350	0.0073163593795727245
september	12	0.0002508466072996363
almost	13	0.0002717504912412726
anyone	5	0.00010451941970818178
hate	3	6.271165182490907e-05
this	211	0.004410719511685271
may	61	0.0012751369204398177
merchant	6	0.00012542330364981815
laws	25	0.0005225970985409089
character	5	0.00010451941970818178
second	22	0.00045988544671599985
all	234	0.004891508842342907
wife	7	0.0001463271875914545
by	286	0.005978510807307998
states	28	0.000585308750365818
date	6	0.00012542330364981815
whatsoever	2	4.180776788327271e-05
using	6	0.00012542330364981815
release	3	6.271165182490907e-05
if	73	0.001525983527739454
flight	2	4.180776788327271e-05
parts	9	0.0001881349554747272
terms	33	0.0006898281700739998
fourth	4	8.361553576654542e-05
part	22	0.00045988544671599985
dignity	7	0.0001463271875914545
anywhere	4	8.361553576654542e-05
a	887	0.01854174505623145
world	18	0.0003762699109494544
merry	0	0.0
not	199	0.004159872904385635
