before	57	0.0007586546524163817
works	36	0.00047915030678929364
and	2874	0.03825216615867861
well	70	0.0009316811520902932
love	21	0.00027950434562708796
to	2191	0.029161620060426177
start	12	0.00015971676892976455
country	57	0.0007586546524163817
is	1420	0.018899817656688807
as	575	0.007653095177884551
lost	11	0.0001464070381856175
first	111	0.001477380112600322
contents	2	2.6619461488294092e-05
project	87	0.001157946574740793
give	59	0.0007852741139046757
heed	0	0.0
eighth	0	0.0
like	48	0.0006388670757190582
third	7	9.316811520902933e-05
cheer	0	0.0
cost	4	5.3238922976588185e-05
last	6	7.985838446488227e-05
comedy	0	0.0
united	14	0.00018633623041805866
or	558	0.007426829755234052
restrictions	4	5.3238922976588185e-05
where	102	0.0013575925359029988
under	55	0.0007320351909280875
included	6	7.985838446488227e-05
with	533	0.007094086486630375
mark	3	3.992919223244114e-05
other	132	0.00175688445822741
king	0	0.0
public	17	0.0002262654226504998
that	832	0.011073695979130342
of	3019	0.04018207711657993
check	5	6.654865372073523e-05
are	495	0.006588316718352788
it	799	0.010634474864573489
january	0	0.0
updated	1	1.3309730744147046e-05
away	25	0.0003327432686036761
sport	1	1.3309730744147046e-05
language	20	0.00026619461488294093
errors	1	1.3309730744147046e-05
no	169	0.0022493444957608507
you	145	0.0019299109579013216
red	13	0.0001730264996739116
himself	63	0.0008385130368812639
sixth	1	1.3309730744147046e-05
the	4913	0.06539070714599443
ends	8	0.00010647784595317637
for	834	0.011100315440618637
prince	2	2.6619461488294092e-05
located	4	5.3238922976588185e-05
have	296	0.003939680300267525
title	5	6.654865372073523e-05
use	84	0.0011180173825083518
life	248	0.0033008132245484676
in	1554	0.02068332157640451
tragedy	2	2.6619461488294092e-05
fifth	1	1.3309730744147046e-05
beloved	2	2.6619461488294092e-05
measure	7	9.316811520902933e-05
labour	3	3.992919223244114e-05
most	124	0.0016504066122742338
set	38	0.0005057697682775877
copy	13	0.0001730264996739116
complete	9	0.00011978757669732341
at	294	0.003913060838779231
september	0	0.0
almost	24	0.0003194335378595291
anyone	5	6.654865372073523e-05
hate	0	0.0
this	435	0.005789732873703965
may	192	0.0025554683028762328
merchant	3	3.992919223244114e-05
laws	17	0.0002262654226504998
character	11	0.0001464070381856175
second	11	0.0001464070381856175
all	312	0.004152635992173879
wife	4	5.3238922976588185e-05
by	451	0.006002688565610318
states	17	0.0002262654226504998
date	8	0.00010647784595317637
whatsoever	5	6.654865372073523e-05
using	19	0.00025288488413879385
release	4	5.3238922976588185e-05
if	216	0.002874901840735762
flight	2	2.6619461488294092e-05
parts	10	0.00013309730744147046
terms	27	0.00035936273009197023
fourth	3	3.992919223244114e-05
part	74	0.0009849200750668813
dignity	1	1.3309730744147046e-05
anywhere	3	3.992919223244114e-05
a	1643	0.021867887612633596
world	70	0.0009316811520902932
merry	1	1.3309730744147046e-05
not	404	0.005377131220635407
