before	109	0.0014822671888598783
works	35	0.00047595735422106177
and	2499	0.03398335509138381
well	92	0.001251087902523934
love	28	0.00038076588337684946
to	2101	0.02857104003481288
start	3	4.079634464751958e-05
country	73	0.0009927110530896432
is	501	0.0068129895561357704
as	752	0.010226283724978242
lost	21	0.0002855744125326371
first	94	0.0012782854656222802
contents	6	8.159268929503917e-05
project	92	0.001251087902523934
give	49	0.0006663402959094866
heed	0	0.0
eighth	0	0.0
like	71	0.0009655134899912968
third	15	0.0002039817232375979
cheer	1	1.3598781549173194e-05
cost	4	5.4395126196692775e-05
last	22	0.00029917319408181026
comedy	2	2.7197563098346387e-05
united	28	0.00038076588337684946
or	393	0.005344321148825065
restrictions	2	2.7197563098346387e-05
where	78	0.0010607049608355092
under	69	0.0009383159268929504
included	4	5.4395126196692775e-05
with	585	0.007955287206266318
mark	2	2.7197563098346387e-05
other	177	0.0024069843342036552
king	3	4.079634464751958e-05
public	34	0.0004623585726718886
that	1013	0.013775565709312446
of	3230	0.04392406440382942
check	7	9.519147084421236e-05
are	268	0.003644473455178416
it	649	0.008825609225413403
january	0	0.0
updated	1	1.3598781549173194e-05
away	25	0.00033996953872932983
sport	1	1.3598781549173194e-05
language	24	0.00032637075718015666
errors	3	4.079634464751958e-05
no	151	0.0020534160139251524
you	308	0.004188424717145344
red	8	0.00010879025239338555
himself	69	0.0009383159268929504
sixth	0	0.0
the	4900	0.06663402959094865
ends	4	5.4395126196692775e-05
for	515	0.007003372497824195
prince	2	2.7197563098346387e-05
located	4	5.4395126196692775e-05
have	326	0.0044332027850304614
title	3	4.079634464751958e-05
use	33	0.0004487597911227154
life	61	0.0008295256744995648
in	1408	0.019147084421235857
tragedy	1	1.3598781549173194e-05
fifth	0	0.0
beloved	2	2.7197563098346387e-05
measure	3	4.079634464751958e-05
labour	25	0.00033996953872932983
most	122	0.0016590513489991297
set	49	0.0006663402959094866
copy	12	0.00016318537859007833
complete	3	4.079634464751958e-05
at	359	0.0048819625761531765
september	1	1.3598781549173194e-05
almost	26	0.00035356832027850306
anyone	5	6.799390774586597e-05
hate	0	0.0
this	409	0.005561901653611837
may	93	0.001264686684073107
merchant	0	0.0
laws	30	0.0004079634464751958
character	62	0.000843124456048738
second	9	0.00012238903394255873
all	217	0.002950935596170583
wife	13	0.00017678416013925153
by	548	0.00745213228894691
states	21	0.0002855744125326371
date	5	6.799390774586597e-05
whatsoever	2	2.7197563098346387e-05
using	7	9.519147084421236e-05
release	3	4.079634464751958e-05
if	190	0.002583768494342907
flight	2	2.7197563098346387e-05
parts	20	0.00027197563098346387
terms	26	0.00035356832027850306
fourth	2	2.7197563098346387e-05
part	91	0.0012374891209747606
dignity	2	2.7197563098346387e-05
anywhere	2	2.7197563098346387e-05
a	1545	0.021010117493472584
world	25	0.00033996953872932983
merry	0	0.0
not	459	0.006241840731070496
